Date,Account,Memo,DocNo,Amount
2026-07-27,1010 Cash — Operating,Cogeco underground build,REF41063,101810.32
2026-07-27,1010 Cash — Operating,Home Depot Pro — invoice payment,CHQ#1086,-11817.92
2026-07-27,1010 Cash — Operating,Petro-Canada SuperPass — invoice payment,REF41606,-13906.20
2026-07-27,1010 Cash — Operating,Shell Fleet Card — invoice payment,REF41459,-3001.52
2026-07-27,1010 Cash — Operating,Vermeer Canada — invoice payment,REF41138,-7965.47
2026-07-27,1010 Cash — Operating,WSIB Ontario — invoice payment,REF41096,-16112.57
2026-07-28,1010 Cash — Operating,Milton Hydro — invoice payment,REF41702,-1402.19
2026-07-29,1010 Cash — Operating,Shell Fleet Card — invoice payment,REF41691,-3127.84
2026-07-30,1010 Cash — Operating,Vermeer Canada — parts and labour,CHQ#1099,-6120.44
2026-07-31,1010 Cash — Operating,Telus network build — milestone,REF41737,33410.92
