Date,Description,Reference,Amount
2026-07-13,EFT BRANDT TRACTOR REF41016,REF41016,-3772.79
2026-07-13,EFT TELECON DESIGN REF41032,REF41032,-10062.15
2026-07-13,PAD ENTERPRISE FLEET REF41352,REF41352,-15995.53
2026-07-13,PAD ENTERPRISE FLEET REF41657,REF41657,-15962.74
2026-07-13,PAD INTACT INS REF41369,REF41369,-17948.18
2026-07-13,PAD UNITED RENTALS REF41444,REF41444,-19762.79
2026-07-13,POS HOME DEPOT PRO REF41276,REF41276,-14292.75
2026-07-14,CHQ DITCH WITCH ONT REF41088,REF41088,-5406.62
2026-07-14,DEP ROGERS COMM AP REF41118,REF41118,32555.27
2026-07-14,EFT ROGERS COMM REF41035,REF41035,-5106.80
2026-07-14,EFT TELECON DESIGN REF41585,REF41585,-14425.23
2026-07-14,EFT WSIB ONT PREMIUM REF41226,REF41226,-481.37
2026-07-15,DEP BELL CDA AP REF41422,REF41422,67245.73
2026-07-15,DEP COGECO CONNEXION REF41471,REF41471,65546.30
2026-07-15,EFT REGION HALTON PERMIT REF41169,REF41169,-22755.57
2026-07-16,CHQ DITCH WITCH ONT REF41323,REF41323,-15565.41
2026-07-16,CHQ DITCH WITCH ONT REF41635,REF41635,-23262.90
2026-07-16,DEP COGECO CONNEXION REF41496,REF41496,87043.40
2026-07-16,DEP TELUS COMM AP REF41388,REF41388,44474.62
2026-07-17,EFT REGION HALTON PERMIT REF41394,REF41394,-23442.78
2026-07-17,POS STAPLES BUS ADV REF41574,REF41574,-22634.55
2026-07-20,ADP PAYROLL PPD REF41271,REF41271,-19431.31
2026-07-20,CHEQUE 1082,CHQ#1082,-4178.09
2026-07-20,CHEQUE 1095,CHQ#1095,-8110.84
2026-07-20,EFT BRANDT TRACTOR REF41449,REF41449,-3733.89
2026-07-20,EFT VERMEER CDA REF41111,REF41111,-22083.48
2026-07-20,PAD ENTERPRISE FLEET REF41201,REF41201,-20433.98
2026-07-20,PAD MILTON HYDRO REF41073,REF41073,-17985.82
2026-07-20,PAD UNITED RENTALS INC REF41720,REF41720,-5233.89
2026-07-21,CHEQUE 1084,CHQ#1084,-16630.44
2026-07-21,DEP COGECO CONNEXION REF41243,REF41243,111470.88
2026-07-22,CHEQUE 1094,CHQ#1094,-3982.62
2026-07-22,EFT BELL CDA PAYMENT REF41588,REF41588,-2355.41
2026-07-22,PAD INTACT INS REF41220,REF41220,-12869.99
2026-07-23,CHEQUE 1092,CHQ#1092,-1353.99
2026-07-23,CHEQUE 1096,CHQ#1096,-17527.38
2026-07-23,DEP COGECO CONNEXION REF41557,REF41557,36191.83
2026-07-23,EFT ROGERS COMM REF41513,REF41513,-5693.76
2026-07-24,EFT ANIXTER CDA REF41377,REF41377,-7696.35
2026-07-24,EFT BRANDT TRACTOR REF41254,REF41254,-10553.30
2026-07-24,EFT WESCO DIST REF41177,REF41177,-14612.36
2026-07-24,PRE-AUTH DEBIT UNKNOWN ORIG 8841,PAD-8841,-740.00
2026-07-27,CHEQUE 1086,CHQ#1086,-11817.92
2026-07-27,CHEQUE 1093,CHQ#1093,-13713.40
2026-07-27,DEP COGECO CONNEXION REF41063,REF41063,101810.32
2026-07-27,EFT BRANDT TRACTOR REF41409,REF41409,-15374.06
2026-07-27,EFT VERMEER CDA REF41138,REF41138,-7965.47
2026-07-27,EFT WSIB ONT PREMIUM REF41096,REF41096,-16112.57
2026-07-27,PAD MILTON HYDRO UTIL REF41702,REF41702,-1402.02
2026-07-27,PAD PETROCAN SUPERPASS REF41606,REF41606,-13906.20
2026-07-27,PAD SHELL FLEET CARD SVC REF41691,REF41691,-3128.25
2026-07-27,PAD SHELL FLEET REF41459,REF41459,-3001.52
2026-07-31,INTEREST EARNED,INT-JUL,198.42
2026-07-31,MONTHLY ACCOUNT FEE,SVC-JUL,-135.00
